Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-5,NA,3.5.0
acepack,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.1,NA,3.5.0
arm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10-1,NA,3.5.0
assertthat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
audio,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-5.1,NA,3.5.0
backports,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.3,NA,3.5.0
base,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
base64enc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-3,NA,3.5.0
beepr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3,NA,3.5.0
BH,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.69.0-1,NA,3.5.2
bibtex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.2,NA,3.5.0
bindr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.1,NA,3.5.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.2,NA,3.5.0
binom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-1,NA,3.5.0
bit,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-14,NA,3.5.0
bitops,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-6,NA,3.5.0
boot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-20,recommended,3.5.2
BradleyTerry2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-8,NA,3.5.0
brglm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.1,NA,3.5.0
broom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
callr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1.1,NA,3.5.0
car,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0-2,NA,3.5.0
carData,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0-2,NA,3.5.0
caret,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,6.0-81,NA,3.5.0
caTools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.17.1.1,NA,3.5.0
cellranger,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
checkmate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.5,NA,3.5.0
class,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-15,recommended,3.5.2
classInt,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-1,NA,3.5.0
cli,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
clipr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.1,NA,3.5.0
clisymbols,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
cluster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.7-1,recommended,3.5.2
cmprsk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2-7,NA,3.5.0
coda,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.19-2,NA,3.5.0
codetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-16,recommended,3.5.2
coin,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-2,NA,3.5.0
colorspace,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-2,NA,3.5.0
colourpicker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0,NA,3.5.0
combinat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.0-8,NA,3.5.0
compiler,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
corpcor,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6.9,NA,3.5.0
cowplot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.4,NA,3.5.2
crayon,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.4,NA,3.5.0
crosstalk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
Cubist,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.2,NA,3.5.0
curl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2,NA,3.5.0
cvAUC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.2,NA,3.5.1
data.table,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.11.8,NA,3.5.0
DataExplorer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.0,NA,3.5.0
datasets,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
DBI,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.2,NA,3.5.0
